,APP.ID,Date.M2M.Approved,Date.Announced,CIA_NAME,GRANT_TYPE,SUB_TYPE,SIMPLIFIED.TITLE,ADMIN_.INSTITUTION,STATE,X2015,X2016,X2017,X2018,X2019,TOTAL,BROAD_RESEARCH_AREA,FOR_.CATEGORY,FIELD_OF_..RESEARCH,RESEARCH_KW_1,RESEARCH_KW_2,RESEARCH_KW_3,RESEARCH_KW_4,RESEARCH_KW_5
74,1080321,2014-08-18,2014-08-29,A/Pr Andrew Lew,NHMRC Research Fellowships,Research Fellowship,Research fellowship,Walter and Eliza Hall Institute,VIC,162996,162996,162996,162996,162996,814980,Basic Science,IMMUNOLOGY,Cellular Immunology,dendritic cell,antigen presenting cells,apoptosis,cellular immunology,islet transplantation
75,1080404,2014-08-18,2014-08-29,Prof Markus Schlaich,NHMRC Research Fellowships,Research Fellowship,Resistant Hypertension: causes, consequences, and novel therapeutic approaches,Baker IDI Heart and Diabetes Institute,VIC,137329,137329,137329,137329,137329,686645,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),hypertension,renal failure,sympathetic activity,obesity,denervation
76,1080593,2014-08-18,2014-08-29,Prof Paul Alewood,NHMRC Research Fellowships,Research Fellowship,Pain Drugs from Venom Peptides,University of Queensland,QLD,147996,147996,147996,147996,147996,739980,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,antagonists,peptide synthesis,conotoxins,pain,drug discovery
77,1080806,2014-08-18,2014-08-29,A/Pr Gerald Atkins,NHMRC Research Fellowships,Research Fellowship,The central role of the osteocyte in skeletal pathophysiology,University of Adelaide,SA,122329,122329,122329,122329,122329,611645,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,bone disease,bone remodelling,bone mineral density,orthopaedic surgery,osteolysis
78,1080856,2014-08-18,2014-08-29,Prof Richard Bryant,NHMRC Research Fellowships,Research Fellowship,A Translational Model for Indigenous Mental Health,University of New South Wales,NSW,182383,182383,182383,182383,182383,911915,Clinical Medicine and Science,PSYCHOLOGY,Health, Clinical and Counselling Psychology,mental health,Aboriginal mental health,indigenous health,posttraumatic stress disorder (PTSD),refugee health
79,1080887,2014-08-18,2014-08-29,Prof Leonard Harrison,NHMRC Research Fellowships,Research Fellowship,Pathogenesis and Prevention of Type 1 Diabetes,Walter and Eliza Hall Institute,VIC,167383,167383,167383,167383,167383,836915,Clinical Medicine and Science,IMMUNOLOGY,Autoimmunity,type 1 diabetes mellitus (insulin-dependent diabetes mellitus),prevention,immune regulation,immunotherapy,epigenetics
80,1080963,2014-08-18,2014-08-29,A/Pr G. Paul Amminger,NHMRC Research Fellowships,Research Fellowship,Lipid Biology For Prediction And Prevention Of Psychotic Disorders and  Persistent Depression In Young People,University of Melbourne,VIC,122329,122329,122329,122329,122329,611645,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),psychosis,schizophrenia and related disorders,depression,fatty acids,myelin
81,1081143,2014-08-18,2014-08-29,Prof Murray Esler,NHMRC Research Fellowships,Research Fellowship,Human Cardiovascular Neuroscience,Baker IDI Heart and Diabetes Institute,VIC,167383,167383,167383,167383,167383,836915,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),sympathetic activity,orthostatic hypotension,hypertension,kidney,catecholamines
82,1081175,2014-08-18,2014-08-29,Prof Andrew Grulich,NHMRC Research Fellowships,Research Fellowship,Research Fellowship in preventing HIV and HIV-related cancer,University of New South Wales,NSW,147996,147996,147996,147996,147996,739980,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,human immunodeficiency virus (HIV),prevention,preventive screening,cancer prevention,human papillomavirus (HPV)
83,1081288,2014-08-18,2014-08-29,A/Pr Peter Anderson,NHMRC Research Fellowships,Research Fellowship,Improving the long-term quality of life for preterm children,Murdoch Childrens Research Institute,VIC,122329,122329,122329,122329,122329,611645,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,premature birth,low birth weight infant,neuropsychology,neuroimaging,early intervention
84,1081328,2014-08-18,2014-08-29,A/Pr Sophia Zoungas,NHMRC Research Fellowships,Research Fellowship,Improving health outcomes with Ageing and Diabetes: a focus on prevention and management of Cardiovascular Disease,Monash University,VIC,122329,122329,122329,122329,122329,611645,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,ageing population,clinical trial,diabetes,health services research,cardiovascular disease prevention
85,1081334,2014-08-18,2014-08-29,Prof Christine Clarke,NHMRC Research Fellowships,Research Fellowship,Hormone action in the normal breast,University of Sydney,NSW,162996,162996,162996,162996,162996,814980,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development, Proliferation and Death,progesterone,nuclear receptors,breast function,breast cancer,transcriptional regulation
86,1081356,2014-08-18,2014-08-29,Prof Craig Anderson,NHMRC Research Fellowships,Research Fellowship,Developing and implementing proven treatments and systems of care in stroke,University of Sydney,NSW,167383,167383,167383,167383,167383,836915,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),stroke outcome,randomised controlled trial (RCT),clinical epidemiology,stroke risk,blood pressure
87,1081421,2014-08-18,2014-08-29,A/Pr Anne Voss,NHMRC Research Fellowships,Research Fellowship,NHMRC Research Fellowship,Walter and Eliza Hall Institute,VIC,122329,122329,122329,122329,122329,611645,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),developmental genetics,chromatin,transcriptional regulation,gene function,gene targeting
88,1081858,2014-08-18,2014-08-29,Prof Christopher Goodnow,NHMRC Research Fellowships,Research Fellowship,Immunological diseases: understanding their cause and improving their treatment by human genome sequencing,Garvan Institute of Medical Research,NSW,167383,167383,167383,167383,167383,836915,Clinical Medicine and Science,IMMUNOLOGY,Immunogenetics (incl. Genetic Immunology),autoimmune disease,antibody,genomics,T cells,molecular biology
89,1082045,2014-08-18,2014-08-29,Prof Matthew Law,NHMRC Research Fellowships,Research Fellowship,Treatment and Prevention of HIV and Sexually Transmitted Infections,University of New South Wales,NSW,147996,147996,147996,147996,147996,739980,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,human immunodeficiency virus (HIV),sexually-transmitted infections (STI),treatment,prevention,cohort study
90,1082138,2014-08-18,2014-08-29,Prof Rachelle Buchbinder,NHMRC Research Fellowships,Research Fellowship,Improving translation of evidence into practice for musculoskeletal conditions,Monash University,VIC,182383,182383,182383,182383,182383,911915,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,musculoskeletal disorders,rheumatology,implementation,translation,epidemiological research methods
91,1082141,2014-08-18,2014-08-29,Prof Terence Speed,NHMRC Research Fellowships,Research Fellowship,Statistics and bioinformatics for medical omics,Walter and Eliza Hall Institute,VIC,167383,167383,167383,167383,167383,836915,Basic Science,STATISTICS,Biostatistics,bioinformatics,biostatistics,genomics,epigenetics,cancer
92,586607,2014-08-18,2014-08-29,Prof Dmitri Sviridov,NHMRC Research Fellowships,Research Fellowship-6th year,Cholesterol Metabolism: a Focal Point in Pathogenesis of Atherosclerosis and Metabolic Diseases, from Cells to Patients,Baker IDI Heart and Diabetes Institute,VIC,135162,NA,NA,NA,NA,135162,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cholesterol,cholesterol metabolism,lipoproteins,transporters,metabolism
93,586651,2014-08-18,2014-08-29,Prof Greg Rice,NHMRC Research Fellowships,Research Fellowship-6th year,Improving the outcome of pregnancy to provide a better start to life.,University of Queensland,QLD,147996,NA,NA,NA,NA,147996,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,pregnancy,pregnancy complications,cell biology,proteomics,biomarkers
94,586675,2014-08-18,2014-08-29,Prof Merlin Thomas,NHMRC Research Fellowships,Research Fellowship-6th year,Modulating Angiotensin Signalling Towards the Prevention of Diabetic Complications,Baker IDI Heart and Diabetes Institute,VIC,122329,NA,NA,NA,NA,122329,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),angiotensin II,diabetes mellitus,advanced glycation,epigenetics,atherogenesis
95,596825,2014-08-18,2014-08-29,A/Pr Shane Grey,NHMRC Research Fellowships,Research Fellowship-6th year,re-balancing pancreatic beta cell inflammatory homeostasis for improved islet transplant outcomes and novel therapeutic opportunities for type 2 diabetes.,Garvan Institute of Medical Research,NSW,122329,NA,NA,NA,NA,122329,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,diabetes,islet transplantation,type 2 diabetes mellitus (non-insulin dependent diabetes mellitus),islets of Langerhans,nuclear factor kappa-B (NF-KB)
96,603104,2014-08-18,2014-08-29,Prof Weisan Chen,NHMRC Research Fellowships,Research Fellowship-6th year,Cellular Immunity to Influenza A viruses in mice and in humans,La Trobe University,VIC,122329,NA,NA,NA,NA,122329,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell immunity,antigen presentation,vaccine biology,influenza virus,epitope mapping
97,603124,2014-08-18,2014-08-29,A/Pr Margaret Hibbs,NHMRC Research Fellowships,Research Fellowship-6th year,Identifying and targeting mechanisms underlying chronic inflammation,Monash University,VIC,122329,NA,NA,NA,NA,122329,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,systemic lupus erythematosus (SLE),chronic inflammation,autoimmunity,chronic obstructive pulmonary disease (COPD),therapeutics
98,606411,2014-08-18,2014-08-29,Prof Rosemary Horne,NHMRC Research Fellowships,Research Fellowship-6th year,Paediatric Sleep Research,Monash University,VIC,122329,NA,NA,NA,NA,122329,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,sleep breathing disorders,sleep/wake patterns,prematurity,behavioural problems,cardiovascular sequelae
99,613638,2014-08-18,2014-08-29,Prof Kum Kum Khanna,NHMRC Research Fellowships,Research Fellowship-6th year,DNA damage response in health and disease,Queensland Institute of Medical Research,QLD,167383,NA,NA,NA,NA,167383,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,DNA damage,breast cancer,DNA repair,therapeutic target,cancer metastasis
100,613674,2014-08-18,2014-08-29,A/Pr Dale Nyholt,NHMRC Research Fellowships,Research Fellowship-6th year,Identifying the pathogenetic mechanisms underlying migraine and comorbid traits,Queensland Institute of Medical Research,QLD,135162,NA,NA,NA,NA,135162,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),migraine,comorbidity,complex genetic disease,genetic risk factors,statistical genetics
101,620500,2014-08-18,2014-08-29,Prof Sarah Russell,NHMRC Research Fellowships,Research Fellowship-6th year,Elucudating hematopietic fate determination,Swinburne University of Technology,VIC,137329,NA,NA,NA,NA,137329,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development, Proliferation and Death,T cell development,T cell immunity,leukaemia,tumour suppressor gene,signalling
102,626906,2014-08-18,2014-08-29,A/Pr Michael Beard,NHMRC Research Fellowships,Research Fellowship-6th year,Defining the host response to HCV and other Flavivirus infection,University of Adelaide,SA,122329,NA,NA,NA,NA,122329,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,virology,innate immunity,hepatitis C virus,flavivirus,bacteriology
103,627002,2014-08-18,2014-08-29,Prof Christine Feinle-Bisset,NHMRC Research Fellowships,Research Fellowship-6th year,Dietary nutrients as novel therapeutic approaches to appetite regulation in health and disorders of eating,University of Adelaide,SA,135162,NA,NA,NA,NA,135162,Clinical Medicine and Science,NUTRITION AND DIETICS,Nutritional Physiology,nutritional therapy,body weight regulation,glucose homeostasis,energy intake,novel therapies
104,628319,2014-08-18,2014-08-29,A/Pr Barbara Coulson,NHMRC Research Fellowships,Research Fellowship-6th year,Rotavirus pathogenesis and immunity,University of Melbourne,VIC,122329,NA,NA,NA,NA,122329,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,rotavirus infection,innate immunity,viral immunity,virus receptors,virus pathogenesis
105,628386,2014-08-18,2014-08-29,Prof Christos Pantelis,NHMRC Research Fellowships,Research Fellowship-6th year,Neurodevelopmental 'risk' and 'resilience' biomarkers for emerging mental illness in childhood and adolescence,University of Melbourne,VIC,182383,NA,NA,NA,NA,182383,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),schizophrenia and related disorders,neurodevelopmental disorders,autism spectrum disorders,neuroimaging,biomarkers
106,628426,2014-08-18,2014-08-29,Prof Ygal Haupt,NHMRC Research Fellowships,Research Fellowship-6th year,Restoration of tumour suppression,University of Melbourne,VIC,135162,NA,NA,NA,NA,135162,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,tumour suppression,p53,protein degradation,senescence,cancer therapy
107,628471,2014-08-18,2014-08-29,Prof Anthony Scott,NHMRC Research Fellowships,Research Fellowship-6th year,Incentives and the performance of health care providers,University of Melbourne,VIC,162996,NA,NA,NA,NA,162996,Health Services,APPLIED ECONOMICS,Health Economics,incentives,health economics,health systems,health econometrics,workforce policy
108,630445,2014-08-18,2014-08-29,Prof Brett Garner,NHMRC Research Fellowships,Research Fellowship-6th year,Defining the mechanisms by which ABCA7 and apoE control Alzheimer's disease risk. Functional characterisation of new therapeutic targets for dementia prevention and treatment.,University of Wollongong,NSW,122329,NA,NA,NA,NA,122329,Basic Science,NEUROSCIENCES,Cellular Nervous System,Alzheimer disease,apolipoproteins,neurodegeneration,amyloid beta-protein,molecular neuroscience
109,631384,2014-08-18,2014-08-29,A/Pr Brian Gabrielli,NHMRC Research Fellowships,Research Fellowship-6th year,Targeting the cell cycle in cancer,University of Queensland,QLD,122329,NA,NA,NA,NA,122329,Basic Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,cell cycle regulation,targeted therapy,cancer cell biology,cancer therapy,melanoma
110,631386,2014-08-18,2014-08-29,Prof Mark Walker,NHMRC Research Fellowships,Research Fellowship-6th year,Epidemiology, pathogenesis and prevention of Group A Streptococcus infection,University of Queensland,QLD,147996,NA,NA,NA,NA,147996,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,Streptococcus pyogenes,infectious diseases,vaccine development,rheumatic diseases,outbreak
111,631421,2014-08-18,2014-08-29,Prof Jennifer Martin,NHMRC Research Fellowships,Research Fellowship-6th year,Protein assembly machineries in health and disease,University of Queensland,QLD,135162,NA,NA,NA,NA,135162,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),protein structure,protein complexes,enzyme inhibitors,crystallography,membrane protein
112,632900,2014-08-18,2014-08-29,Prof Barbara Fazekas de St Groth,NHMRC Research Fellowships,Research Fellowship-6th year,Understanding immune networks for the prevention and treatment of human disease,University of Sydney,NSW,162966,NA,NA,NA,NA,162996,Clinical Medicine and Science,IMMUNOLOGY,Cellular Immunology,regulatory T cells,tumour immunotherapy,dendritic cell,graft rejection,allergy
113,632909,2014-08-18,2014-08-29,Prof Jie Jin Wang,NHMRC Research Fellowships,Research Fellowship-6th year,Gaining knowledge of gene-environment interplay in age-related eye diseases and moving towards personalised health care practice,University of Sydney,NSW,135162,NA,NA,NA,NA,135162,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,macular degeneration,cataract,visual impairment,genetic epidemiology,prevention
114,634304,2014-08-18,2014-08-29,Prof Ruth Ganss,NHMRC Research Fellowships,Research Fellowship-6th year,Vascular and Stromal Remodelling to Improve Health Outcome,University of Western Australia,WA,135162,NA,NA,NA,NA,135162,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,angiogenesis,vascular remodelling,hypertension,tumour targeting,mouse models
115,1076729,2014-08-18,2014-08-29,Dr Maree Toombs,NHMRC Strategic Awards,TCR - Youth Suicide,Indigenous Network Suicide Intervention Skills Training (INSIST): Can a community designed and delivered framework reduce suicide/self-harm in Indigenous youth?,University of Queensland,QLD,402938,152574,197938,51287,NA,804737,Public Health,PSYCHOLOGY,Psychological Methodology, Design and Analysis,suicide prevention,Aboriginal mental health,suicide risk,community development,community intervention study
116,1076774,2014-08-18,2014-08-29,Dr Roxanne Bainbridge,NHMRC Strategic Awards,TCR - Youth Suicide,Psycho-social resilience, vulnerability and suicide prevention: A mentoring approach to modifying suicide risk for remote Indigenous students at boarding school,James Cook University,QLD,159975,169975,154975,169975,169975,824876,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,suicide prevention,school-based intervention,intervention study,Aboriginal mental health,adolescent health
117,1076796,2014-08-18,2014-08-29,Prof Anthony Jorm,NHMRC Strategic Awards,TCR - Youth Suicide,Development of gatekeeper training to improve the capacity of Aboriginal and Torres Strait Islander communities to prevent youth suicide,University of Melbourne,VIC,274536,526287,339549,NA,NA,1140372,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,Aboriginal mental health,mental health,mental health promotion,prevention,early intervention
118,1076817,2014-08-18,2014-08-29,A/Pr Gary Robinson,NHMRC Strategic Awards,TCR - Youth Suicide,Skills for Life: A Life Skills curriculum for Indigenous youth in remote communities,Menzies School of Health Research,NT,244946,523059,523059,397484,57353,1745899,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,Aboriginal mental health,suicide prevention,youth,social and behavioural research,community intervention study
119,585458,2014-08-18,2014-08-29,Prof Shin-Ho Chung,NHMRC Research Fellowships,Research Fellowship-Retiring Fellow,Uncoupled Research Fellowship,Australian National University,ACT,147996,NA,NA,NA,NA,147996,Basic Science,OTHER PHYSICAL SCIENCES,Biotechnology,Drug interaction,Ion channels,Potassium channels,NA,NA
120,586656,2014-08-18,2014-08-29,Prof Tony M Dart,NHMRC Research Fellowships,Research Fellowship-Retiring Fellow,Uncoupled Research Fellowship,Baker IDI Heart and Diabetes Institut,VIC,167383,NA,NA,NA,NA,167383,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMOTOLOGY,Arterial Function,Hypertension,Lipoproteins,Myocardial infarction.,NA,NA
121,595913,2014-08-18,2014-08-29,Prof Peter I Mackenzie,NHMRC Research Fellowships,Research Fellowship-Retiring Fellow,Uncoupled Research Fellowship,Flinders University,SA,167383,NA,NA,NA,NA,167383,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Drug metabolism,,UDP glucuronosyltransferases,,differential gene expression,gene regulation,NA,NA
122,634341,2014-08-18,2014-08-29,Prof Carol Bower,NHMRC Research Fellowships,Research Fellowship-Retiring Fellow,Uncoupled Research Fellowship,University of Western Australia,WA,147996,NA,NA,NA,NA,147996,NA,NA,NA,NA,NA,NA,NA,NA
123,637306,2014-08-18,2014-08-29,A/Pr Lynn Corcoran,NHMRC Research Fellowships,Research Fellowship-Retiring Fellow,Uncoupled Research Fellowship,Walter and Eliza Hall Institute,VIC,147996,NA,NA,NA,NA,147996,NA,NA,NA,NA,NA,NA,NA,NA
