ApplicationId,Title,Name,Gender,CareerStage,GrantType,isSalaryGrant,GrantSubType,Institution,State,BroadArea,Category,FoR,TotalAmount,GrantLength
1079762,A/Pr,Clare Parish,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,366398,3
1079777,Prof,David Hunter,male,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,394017,5
1079785,Prof,R. Douglas McEvoy,NA,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,Flinders University,SA,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,551436,5
1079834,A/Pr,Jonathan Hirst,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,1151520,4
1079842,Prof,Jon Emery,male,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,University of Melbourne,VIC,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,459687,5
1079864,Prof,Anthony Keech,male,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Health Services Research,University of Sydney,NSW,Health Services,OPHTHALMOLOGY and OPTOMETRY,Optometry and Ophthalmology not elsewhere classified,2479298,5
1079866,Prof,Edna Hardeman,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,1156255.25,5
1079891,Prof,Andrew Lawrence,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,547464.5,3
1079893,Prof,Andrew Lawrence,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,663813,3
1079904,A/Pr,Richard Ferrero,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Monash University,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Microbiology not elsewhere classified,611645,5
1079924,Dr,Ashley Mansell,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,IMMUNOLOGY,Innate Immunity,643134,3
1079929,Prof,Pankaj Sah,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Queensland,QLD,Basic Science,NEUROSCIENCES,Central Nervous System,739980,5
1079930,A/Pr,Richard Ferrero,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Microbiology not elsewhere classified,768251,3
1079946,Prof,Mark Hogarth,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant, Macfarlane Burnet Institute for Medical Research and Public Health,VIC,Basic Science,IMMUNOLOGY,Humoural Immunology and Immunochemistry,673472,3
1079956,A/Pr,Jordana Bayer,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,La Trobe University,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,456597.5,4
1079995,Prof,Brett Garner,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Wollongong,NSW,Basic Science,NEUROSCIENCES,Cellular Nervous System,416660.4,3
1080001,Prof,Miles Davenport,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Microbiology not elsewhere classified,675810,5
1080007,Dr,Geoffrey Gobert,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,466513.5,3
1080020,Dr,David Berlowitz,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Institute for Breathing and Sleep,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,298462.05,3
1080036,Dr,Anna Calkin,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Baker IDI Heart and Diabetes Institute ,VIC,Basic Science,MEDICAL PHYSIOLOGY,Systems Physiology,536260,3
1080042,Prof,Paul Glasziou,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Bond University,QLD,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,836915,5
1080045,A/Pr,Heidi Drummer,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant, Macfarlane Burnet Institute for Medical Research and Public Health,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,623475,3
1080131,A/Pr,Kieran Harvey,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,613435.6,3
1080146,Prof,Jonathan Baell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,672451.4,3
1080157,Dr,Sang Hong Lee,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),343960.5,3
1080183,Dr,Ross Dickins,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Haematological Tumours,539979.5,3
1080186,Dr,Carol Maher,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of South Australia,SA,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,780673.5,4
1080197,A/Pr,James Bourne,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,739154,3
1080204,Prof,Ego Seeman,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,860890.9,4
1080206,Prof,Mark Woodward,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Sydney,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,739980,5
1080246,A/Pr,Karen Canfell,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,470554.22,3
1080253,Dr,Mark Shackleton,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,811512,4
1080259,A/Pr,Lisa Harvey,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Care for Disabled,832484.25,5
1080274,A/Pr,Margaret Hibbs,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,639793.8,3
1080298,Dr,Kerry-Ann O'Grady,NA,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland University of Technology,QLD,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,1385667.08,3
1080302,A/Pr,Damien Harkin,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland University of Technology,QLD,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,519154,3
1080307,Dr,Rowena Bull,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Virology,718469.7,4
1080321,A/Pr,Andrew Lew,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,814980,5
1080329,Dr,Karla Hutt,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,444096,3
1080330,Prof,Ian Alexander,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,MEDICAL BIOTECHNOLOGY,Gene and Molecular Therapy,885084,4
1080333,Prof,Ian Alexander,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,MEDICAL BIOTECHNOLOGY,Gene and Molecular Therapy,229718,2
1080387,Dr,Tyani Chan,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Garvan Institute of Medical Research,NSW,Basic Science,IMMUNOLOGY,Autoimmunity,512543,3
1080391,Dr,Catherine Kennedy,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,528813,3
1080401,Prof,Jonathan Carapetis,male,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Population Health Research,University of Western Australia,WA,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),2496816,5
1080404,Prof,Markus Schlaich,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Baker IDI Heart and Diabetes Institute,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),686645,5
1080405,Dr,Christina Schroeder,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,579492,3
1080465,A/Pr,David Harrich,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,689143.5,3
1080468,A/Pr,Gemma Figtree,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),488816.25,3
1080473,Dr,Kim Loh,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Garvan Institute of Medical Research,NSW,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,460105.5,3
1080491,Prof,Wayne Phillips,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,649492,3
1080492,Prof,Patrick Holt,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,IMMUNOLOGY,Cellular Immunology,713813,3
1080498,Dr,Tracy Putoczki,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,936198.5,4
1080505,Dr,Enzo Porrello,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),427077,3
1080507,Dr,Enzo Porrello,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),535615.5,3
1080518,A/Pr,Helmut Butzkueven,male,Mid Career,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,University of Melbourne,VIC,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,394017,5
1080521,Dr,Susanna Park,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,NEUROSCIENCES,Peripheral Nervous System,818440.5,5
1080530,Dr,William Ritchie,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Bioinformatics,352077,3
1080560,A/Pr,Robin Anderson,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,564492,3
1080582,Prof,Thomas Marwick,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Tasmania,TAS,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),2652448.15,5
1080587,Prof,Nigel Laing,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,2416717.5,5
1080593,Prof,Paul Alewood,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Queensland,QLD,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,739980,5
1080604,Prof,Roland Stocker,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Victor Chang Cardiac Research Institute ,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),1523308,4
1080606,Prof,Vera Morgan,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),789829.8,5
1080652,Prof,David Ryugo,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Garvan Institute of Medical Research,NSW,Basic Science,NEUROSCIENCES,Sensory Systems,881355,5
1080673,Dr,Wendy Lipworth,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Public Health,APPLIED ETHICS,Bioethics (Human and Animal),549492,3
1080682,Dr,Jacqueline Gulbis,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),585368,2
1080706,Dr,Alison Brand,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),1271183.74,5
1080746,A/Pr,Ian Smyth,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),712885.78,3
1080774,Dr,Donna Urquhart,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,533759.7,3
1080784,Dr,Megan Maher,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,La Trobe University,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),613134,3
1080806,A/Pr,Gerald Atkins,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Adelaide,SA,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,611645,5
1080820,Prof,Helen Herrman,female,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,University of Melbourne,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,459687,5
1080856,Prof,Richard Bryant,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Clinical Medicine and Science,PSYCHOLOGY,Health Clinical and Counselling Psychology,911915,5
1080887,Prof,Leonard Harrison,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Clinical Medicine and Science,IMMUNOLOGY,Autoimmunity,836915,5
1080920,Prof,Prashanthan Sanders,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),3149631.6,5
1080938,Dr,Juanita Todd,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Basic Science,PSYCHOLOGY,Biological Psychology (Neuropsychology Psychopharmacology Physiological Psychology),293256.5,3
1080963,A/Pr,G. Paul Amminger,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Melbourne,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),611645,5
1080976,Prof,Joseph Lynch,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,NEUROSCIENCES,Central Nervous System,498009,3
1080985,Dr,Peter Simpson,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,1114997.4,3
1080995,Prof,Jennifer Martin,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Protein Trafficking,653472,3
1081001,Dr,Nadine Kasparian,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Health Counselling,932563.4,5
1081013,Prof,Merlin Thomas,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),505615.5,3
1081026,A/Pr,Brigid Gillespie,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Public Health,NURSING,Midwifery,2285351.3,5
1081072,Dr,Thomas Naderer,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Microbiology not elsewhere classified,633475,3
1081124,Prof,Julie Byles,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,199875.6,2
1081143,Prof,Murray Esler,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Baker IDI Heart and Diabetes Institute,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),836915,5
1081151,Dr,Chris Tailby,male,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Clinical Medicine and Science,COGNITIVE SCIENCE,Neurocognitive Patterns and Neural Networks,342077,4
1081167,Dr,Michael Gantier,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,MEDICAL BIOTECHNOLOGY,Medical Molecular Engineering of Nucleic Acids and Proteins,546995.2,4
1081175,Prof,Andrew Grulich,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,739980,5
1081178,Prof,David Bowtell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,805784.5,3
1081182,Dr,Richard Young,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Clinical Medicine and Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,853134,3
1081221,Dr,Najoua Lalaoui,NA,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Walter and Eliza Hall Institute,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,195932,2
1081225,Dr,Peter Farlie,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Murdoch Childrens Research Institute,VIC,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),673813,3
1081242,A/Pr,Natalie Sims,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,St Vincent's Institute of Medical Research,VIC,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,704154,4
1081252,Prof,Eric Reynolds,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,DENTISTRY,Dentistry not elsewhere classified,593475,3
1081272,Dr,Rebecca Feltham,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Walter and Eliza Hall Institute,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,633813,3
1081288,A/Pr,Peter Anderson,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Murdoch Childrens Research Institute,VIC,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,611645,5
1081290,Prof,Herbert Herzog,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Garvan Institute of Medical Research,NSW,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,694152,4
1081312,Dr,Marina Pajic,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Garvan Institute of Medical Research,NSW,Basic Science,ONCOLOGY AND CARCINOGENESIS,Oncology and Carcinogenesis not elsewhere classified,614495,3
1081320,NA,Newell Johnson,male,NA,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Public Health,DENTISTRY,Dentistry not elsewhere classified,1020590.2,3
1081328,A/Pr,Sophia Zoungas,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Monash University,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,611645,5
1081334,Prof,Christine Clarke,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Sydney,NSW,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,814980,5
1081344,Dr,Anthony Newall,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Public Health,APPLIED ECONOMICS,Health Economics,236941.5,2
1081355,A/Pr,Lisa Wood,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,668469.25,4
1081356,Prof,Craig Anderson,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Sydney,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),836915,5
1081373,A/Pr,Matthias Ernst,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,MEDICAL PHYSIOLOGY,Cell Physiology,870084,4
1081376,Dr,Gabriela Brumatti,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Haematological Tumours,932512,4
1081412,A/Pr,Neville Firth,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,396398,3
1081421,A/Pr,Anne Voss,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),611645,5
1081433,Prof,John Upham,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,1266560,4
1081441,Prof,Paul Martin,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,NEUROSCIENCES,Sensory Systems,553554.6,3
1081443,Dr,Gregory Fox,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,3234544.35,5
1081453,Prof,Roy Robins-Browne,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,653475,3
1081461,Dr,Pradeep Tanwar,male,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Newcastle,NSW,Basic Science,ONCOLOGY AND CARCINOGENESIS,Chemotherapy,367077,3
1081473,Prof,Michael McGuckin,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,822656,4
1081478,Dr,James Fallon,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Sensory Systems,932195.2,4
1081516,Dr,Suzanne Miller,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,708881.5,3
1081564,Prof,Wolfgang Weninger,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,IMMUNOLOGY,Innate Immunity,583813,3
1081603,A/Pr,Melissa Green,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),601328,3
1081667,Prof,Joerg Mattes,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,1083354,5
1081710,A/Pr,Xiao-Jun Du,NA,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),702603,3
1081718,A/Pr,Atte Meretoja,NA,Mid Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,740614,3
1081733,Prof,Mary Collins Chebib,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,917512,4
1081734,A/Pr,David Dunstan,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,310257.4,2
1081736,A/Pr,Andreas Schibler,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,1242929.2,3
1081743,Prof,Danielle Mazza,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,701847.6,4
1081770,A/Pr,Rebecca Ritchie,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),784154,4
